,Z,N,A,mass,lifetime
509,100,141,241,69130.0,730     us 60
510,92,150,242,58620.0,16.8    m 0.5
511,94,148,242,54716.9,375     ky 2
512,95,147,242,55468.1,16.02   h 0.02
513,96,146,242,54803.8,162.8    d 0.2
514,97,145,242,57730.0,7.0    m 1.3
515,98,144,242,59387.0,3.49   m 0.15
516,99,143,242,64800.0,17.8    s 1.6
517,100,142,242,68400.0,800     us 200
518,93,150,243,59880.0,1.85   m 0.15
519,94,149,243,57754.6,4.956  h 0.003
520,95,148,243,57175.0,7.364 ky 0.022
521,96,147,243,57182.0,29.1    y 0.1
522,96,147,243,57279.0,97      16
523,97,146,243,58690.0,4.6    h 0.2
524,97,146,243,58710.0,20      20
525,98,145,243,60990.0,10.7    m 0.5
526,99,144,243,64750.0,21.6    s 1.6
527,100,143,243,69390.0,231     ms 9
528,93,151,244,63200.0,2.29   m 0.16
529,94,150,244,59806.0,80.0   My 0.9
530,95,149,244,59879.2,10.1    h 0.1
531,96,148,244,58451.9,18.10   y 0.02
532,97,147,244,60714.0,5.02   h 0.03
533,98,146,244,61478.2,19.4    m 0.6
534,99,145,244,66030.0,37      s 4
535,100,144,244,68970.0,3.12  ms 0.08
536,94,151,245,63178.0,10.5    h 0.1
537,95,150,245,61900.5,2.05   h 0.01
538,96,149,245,61004.6,8.25  ky 0.07
539,97,148,245,61813.8,4.95   d 0.03
540,98,147,245,63385.2,45.0    m 1.5
541,99,146,245,66370.0,1.1    m 0.1
542,99,146,245,66650.0,283      15
543,100,145,245,70190.0,4.2    s 1.3
544,94,152,246,65395.0,10.84   d 0.02
545,95,151,246,64994.0,39      m 3
546,96,150,246,62617.0,4.706 ky 0.040
547,97,149,246,63970.0,1.80   d 0.02
548,98,148,246,64090.3,35.7    h 0.5
549,99,147,246,67900.0,7.5    m 0.5
550,100,146,246,70189.0,1.54   s 0.04
551,101,145,246,76120.0,0.92   s 0.18
552,101,145,246,76170.0,60      60
553,94,153,247,69110.0,2.27   d 0.23
554,95,152,247,67150.0,23.0    m 1.3
555,96,151,247,65533.0,15.6   My 0.5
556,97,150,247,65490.0,1.38  ky 0.25
557,98,149,247,66104.0,3.11   h 0.03
558,99,148,247,68578.0,4.55   m 0.26
559,100,147,247,71670.0,31      s 1
560,100,147,247,71720.0,49       8
561,101,146,247,75940.0,1.2    s 0.1
562,101,146,247,76200.0,260      40
563,96,152,248,67392.8,348     ky 6
564,98,150,248,67238.0,333.5    d 2.8
565,99,149,248,70300.0,24      m 3
566,100,148,248,71898.0,34.5    s 1.2
567,101,147,248,77150.0,7      s 3
568,96,153,249,70750.7,64.15   m 0.03
569,97,152,249,69846.4,327.2    d 0.3
570,98,151,249,69722.8,351      y 2
571,99,150,249,71180.0,102.2    m 0.6
572,100,149,249,73519.0,1.6    m 0.1
573,101,148,249,77230.0,23.4    s 2.4
574,102,147,249,81780.0,57     us 12
575,97,153,250,72950.0,3.212  h 0.005
576,98,152,250,71170.4,13.08   y 0.09
577,100,150,250,74072.0,30.4    m 1.5
578,101,149,250,78630.0,52      s 5
579,102,148,250,81560.0,5.0   us 0.6
580,96,155,251,76648.0,16.8    m 0.2
581,97,154,251,75228.0,55.6    m 1.1
582,98,153,251,74135.0,900      y 40
583,99,152,251,74512.0,33      h 1
584,100,151,251,75954.0,5.30   h 0.08
585,101,150,251,78967.0,4.21   m 0.23
586,101,150,251,79020.0,53       8
587,102,149,251,82850.0,800     ms 10
588,102,149,251,82960.0,106       6
589,97,155,252,78540.0,1.8    m 0.5
590,98,154,252,76034.6,2.645  y 0.008
591,99,153,252,77290.0,471.7    d 1.9
592,100,152,252,76816.0,25.39   h 0.04
593,101,151,252,80510.0,2.3    m 0.8
594,102,150,252,82871.0,2.45   s 0.02
595,103,149,252,88740.0,369     ms 75
596,103,149,252,88910.0,170      30
597,98,155,253,79302.0,17.81   d 0.08
598,99,154,253,79010.5,20.47   d 0.03
599,100,153,253,79345.7,3.00   d 0.12
600,101,152,253,81170.0,12      m 8
601,101,152,253,81230.0,60      30                            1
602,102,151,253,84359.0,1.56   m 0.02
603,98,156,254,81341.0,60.5    d 0.2
604,99,155,254,81991.0,275.7    d 0.5
605,100,154,254,80902.8,3.240  h 0.002
606,102,152,254,84723.0,51.2    s 0.4
607,103,151,254,89870.0,17.1    s 1.8
608,103,151,254,89940.0,60      50
609,104,150,254,93200.0,23.2   us 1.0
610,98,157,255,84810.0,85      m 18
611,99,156,255,84089.0,39.8    d 1.2
612,100,155,255,83800.0,20.07   h 0.07
613,101,154,255,84843.0,27      m 2
614,102,153,255,86807.0,3.52   m 0.18
615,103,152,255,89947.0,31.1    s 1.1
616,103,152,255,89988.0,41       8
617,104,151,255,94330.0,1.66   s 0.07
618,104,151,255,94480.0,150      22
619,105,150,255,99590.0,1.7    s 0.5
620,98,158,256,87040.0,12.3    m 1.2
621,100,156,256,85487.0,157.6    m 1.3
622,102,154,256,87822.0,2.91   s 0.05
623,103,153,256,91750.0,27      s 3
624,104,152,256,94222.0,6.67  ms 0.10
625,105,151,256,100500.0,1.7    s 0.4
626,99,158,257,89400.0,7.7    d 0.2
627,100,157,257,88590.0,100.5    d 0.2
628,101,156,257,88993.1,5.52   h 0.05
